date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-01-03,100,0,0,0,0,0,100,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,0,100,0,0,100,0
2023-01-04,100,0,0,0,0,0,100,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,0,100,0,0,100,0
2023-01-05,100,0,0,0,0,0,100,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,0,100,0,0,100,0
2023-01-06,100,0,0,0,0,0,100,100,100,100,100,0,0,100,100,100,0,0,100,100,0,0,100,0,100,0,0,100,0
2023-01-09,0,0,0,0,0,0,100,100,100,58,0,0,0,9,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0
