account_value,date,daily_return
1000000.0,2023-01-03,
999977.7821006776,2023-01-04,-2.2217899322440893e-05
994314.2731298449,2023-01-05,-0.005663634804900619
1003054.7932792666,2023-01-06,0.008790500534512802
1000645.81099453,2023-01-09,-0.0024016457534298263
1004318.2613360274,2023-01-10,0.0036700801633771096
